id,flags_isPublicSale,flags_isNewClassified,flags_isNewPrice,flags_isInvestmentProject,flags_isNewlyBuilt,flags_isNotarySale,flags_isLifeAnnuitySale,flags_adQuality,flags_date,flags_priceSqm,flags_price,flags_default,flags_isSoldOrRented,flags_isLowEnergy,flags_percentSold,flags_isPassiveHouse,flags_isNewRealEstateProject,flags_isAnInteractiveSale,flags_isUnderOption,property_type,property_subtype,property_bedroomCount,property_bedrooms,property_bathroomCount,property_bathrooms,property_location_postalCode,property_location_floor,property_location_latitude,property_location_longitude,property_isHolidayProperty,property_location_type,property_location_hasSeaView,property_location_pointsOfInterest,property_netHabitableSurface,property_roomCount,property_attic,property_hasAttic,property_basement_surface,property_hasBasement,property_hasDressingRoom,property_diningRoom,property_hasDiningRoom,property_building_annexCount,property_building_condition,property_building_constructionYear,property_building_facadeCount,property_building_floorCount,property_building_streetFacadeWidth,property_propertyCertificates_builtPlanStatus,property_propertyCertificates_globalInsulationLevel,property_propertyCertificates_oilTankCertificateStatus,property_propertyCertificates_primaryEnergyConsumptionLevel,property_propertyCertificates_hasAsbestosCertificate,property_propertyCertificates_hasElectricalInstallationComplianceCertificate,property_hasCaretakerOrConcierge,property_hasDisabledAccess,property_hasLift,property_constructionPermit_constructionType,property_constructionPermit_floodZoneType,property_constructionPermit_isObtained,property_constructionPermit_hasObligationToConstruct,property_constructionPermit_hasPlotDivisionAuthorization,property_constructionPermit_hasPossiblePriorityPurchaseRight,property_constructionPermit_isBreachingUrbanPlanningRegulation,property_constructionPermit_floodZoneIconUrl,property_constructionPermit_totalBuildableGroundFloorSurface,property_constructionPermit_urbanPlanningInformation,property_constructionPermit_pScore,property_constructionPermit_gScore,property_energy_heatingType,property_energy_hasHeatPump,property_energy_hasPhotovoltaicPanels,property_energy_hasThermicPanels,property_energy_hasCollectiveWaterHeater,property_energy_hasDoubleGlazing,property_energy_performance,property_kitchen_surface,property_kitchen_type,property_kitchen_hasOven,property_kitchen_hasMicroWaveOven,property_kitchen_hasDishwasher,property_kitchen_hasWashingMachine,property_kitchen_hasFridge,property_kitchen_hasFreezer,property_kitchen_hasSteamOven,property_land,property_laundryRoom,property_hasLaundryRoom,property_livingRoom,property_hasLivingRoom,property_hasBalcony,property_hasBarbecue,property_hasGarden,property_gardenSurface,property_gardenOrientation,property_parkingCountIndoor,property_parkingCountOutdoor,property_parkingCountClosedBox,property_hasAirConditioning,property_hasArmoredDoor,property_hasVisiophone,property_hasSecureAccessAlarm,property_hasCableTV,property_hasDoorPhone,property_hasInternet,property_showerRoomCount,property_showerRooms,property_specificities_hasOffice,property_specificities_office,property_specificities_hasWorkspace,property_specificities_workspace,property_toiletCount,property_toilets,property_hasFitnessRoom,property_hasTennisCourt,property_hasSwimmingPool,property_hasSauna,property_hasJacuzzi,property_hasHammam,property_bedroomSurface,property_habitableUnitCount,property_hasTerrace,property_terraceSurface,property_terraceOrientation,transaction_type,transaction_subtype,transaction_certificates_carbonEmission,transaction_certificates_primaryEnergyConsumptionPerSqm,transaction_certificates_primaryEnergyConsumptionYearly,transaction_certificates_epcReference,transaction_certificates_epcScore,transaction_certificates_renovationObligation,transaction_rental,transaction_sale_price,transaction_sale_cadastralIncome,transaction_sale_publicSale,transaction_sale_pricePerSqm,transaction_sale_isFurnished,transaction_sale_homeToBuild
20571363,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,villa,4,[{'surface': 21}],2,[],1640,none,50.7519617,4.3781916,none,none,none,none,316,none,none,none,,none,none,none,none,none,none,1970,4,none,7,none,none,not_specified,265,none,true,none,false,false,villa,none,false,none,false,false,false,none,0,none,a,a,gas,false,false,false,false,true,none,12,none,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': true, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 14, 'latestusedesignation': 'res', 'rearland': none, 'sewerconnection': 'connected', 'surface': 600}",none,none,none,False,none,none,none,none,none,1,none,none,none,false,none,false,false,none,none,none,[],false,none,none,none,none,[],none,none,false,false,false,none,none,none,true,none,none,for_sale,buy_regular,none,265,0,20240403-0003200785-res-1,c,none,none,795000,4385,none,none,false,none
20660682,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,house,4,[],2,[],1640,none,none,none,none,none,none,none,180,none,none,none,,none,true,none,none,none,none,2024,3,none,none,yes_conform,none,not_specified,none,none,true,none,none,none,none,none,none,none,none,none,none,none,0,none,none,none,none,false,false,false,none,true,none,none,installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': none, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': none, 'surface': 272}",{'surface': none},true,{'surface': 50},True,none,none,none,none,none,none,1,none,none,none,none,true,none,none,none,none,[],,,,,3,[],none,none,none,none,none,none,none,none,true,18,north_west,for_sale,buy_regular,39,none,none,none,none,none,none,890000,0,none,none,false,none
20612082,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,villa,6,[],3,[],1640,none,none,none,none,none,none,none,455,none,none,none,,none,false,{'surface': none},true,none,just_renovated,1957,4,none,none,none,none,not_specified,none,true,none,false,false,false,all_kind,none,none,none,none,none,none,none,0,none,none,none,none,false,false,false,false,true,none,25,usa_hyper_equipped,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': false, 'isfacingstreet': false, 'isflat': false, 'iswooded': false, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': none, 'surface': 1892}",{'surface': none},true,none,True,none,none,true,1,none,2,2,none,false,false,false,true,false,true,false,2,[],false,none,false,none,none,[],none,none,false,false,false,none,none,none,true,1,none,for_sale,buy_regular,none,369,none,201000710-0000587230-0000002-5,d,false,none,1990000,0,none,none,none,none
20653726,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,house,5,[],4,[],1640,none,none,none,none,none,none,none,600,none,none,none,none,true,none,none,none,none,to_be_done_up,1983,4,none,none,,,,,,,none,false,false,none,non_flood_zone,none,none,none,none,none,none,0,none,none,none,none,none,none,none,none,true,none,,,,,,,,,,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': none, 'surface': 2460}",{'surface': none},true,none,False,none,none,none,none,none,2,2,none,none,true,true,true,none,true,none,none,[],true,none,none,none,none,[],none,none,none,none,none,none,none,none,true,none,none,for_sale,buy_regular,none,196,none,none,b,false,none,2200000,0,none,none,none,none
20189116,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,True,house,exceptional_property,6,[],5,[],1640,none,none,none,none,none,none,none,900,none,none,none,none,true,none,none,none,none,good,1977,4,2,none,none,none,yes_conform,none,none,true,none,true,true,none,none,none,none,none,none,none,none,0,none,a,a,fueloil,none,none,none,none,true,none,none,hyper_equipped,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': none, 'surface': 4970}",{'surface': none},true,none,False,none,none,true,3000,none,3,6,none,none,none,true,true,true,true,none,none,[],true,none,none,none,none,[],none,none,none,none,none,none,none,none,true,none,south_west,for_sale,buy_regular,165,368,416803,20221128-0002715956-res-1,d,false,none,2195000,8249,none,none,false,none
20588777,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,house,5,[],4,[],1640,none,none,none,none,none,none,none,630,none,none,none,,none,none,none,none,none,as_new,1907,4,none,none,,,,,,,none,false,false,none,non_flood_zone,none,none,none,none,none,none,0,none,none,none,,,,,,,,,,,,,,,,,"{'hasgaswaterelectricityconnection': true, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': none, 'surface': 6691}",none,none,none,False,none,none,true,4000,none,4,none,none,none,none,none,none,none,none,none,none,[],,,,,none,[],none,none,true,none,none,none,none,none,true,none,none,for_sale,buy_regular,none,479,none,20190315-00020000520-res-2,e,true,none,7500000,0,none,none,false,none
20711439,False,True,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,house,7,"[{'surface': 34}, {'surface': 16}, {'surface': 23}, {'surface': 22}, {'surface': 16}]",4,[],1640,none,none,none,none,none,none,none,433,24,none,none,none,true,none,{'surface': 34},true,none,none,none,4,none,none,,,,,,,none,false,false,none,non_flood_zone,none,none,none,none,none,none,395,none,none,none,none,none,none,none,none,true,none,16,hyper_equipped,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': none, 'surface': 4268}",{'surface': none},true,{'surface': 30},True,none,none,true,4100,none,2,5,none,none,none,true,true,none,true,none,4,[],true,none,none,none,4,[],none,none,none,none,none,none,none,none,true,none,south,for_sale,buy_regular,none,608,none,none,f,true,none,2650000,0,none,none,none,none
20434176,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,villa,7,"[{'surface': 120}, {'surface': 20}, {'surface': 22}, {'surface': 18}, {'surface': 22}]",5,[],1640,none,none,none,none,none,none,none,630,1,none,none,,none,false,none,none,none,as_new,1907,4,2,20,none,none,none,0,none,none,false,false,false,all_kind,non_flood_zone,true,false,false,false,false,none,0,none,none,none,none,none,none,none,none,true,none,,,,,,,,,,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': true, 'isfacingstreet': false, 'isflat': true, 'iswooded': false, 'landwidth': 75, 'latestusedesignation': 'res', 'rearland': none, 'sewerconnection': none, 'surface': 6900}",none,none,none,True,none,none,none,none,none,6,none,none,false,true,true,true,true,false,true,0,[],,,,,0,[],none,none,true,false,false,none,none,none,true,200,none,for_sale,buy_regular,none,479,none,20190315-0002000520-res-2,e,true,none,7500000,5500,none,none,none,none
20430842,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,True,house,house,7,"[{'surface': 12}, {'surface': 14}, {'surface': 12}, {'surface': 20}, {'surface': 20}]",3,[],1640,none,50.7518398,4.3698587,none,fitted_out,none,none,250,1,none,none,22,true,false,none,none,none,good,1957,4,none,none,none,none,none,0,none,none,false,false,false,all_kind,none,false,false,false,false,false,none,0,none,none,none,gas,none,false,false,false,true,none,16,none,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': true, 'hasplottorear': false, 'isfacingstreet': false, 'isflat': true, 'iswooded': false, 'landwidth': 0, 'latestusedesignation': 'div', 'rearland': none, 'sewerconnection': 'connected', 'surface': 970}",none,none,{'surface': 50},True,none,none,none,none,none,1,1,none,false,false,false,true,false,false,false,0,[],,,,,3,[],none,none,none,none,none,none,none,none,none,none,none,for_sale,buy_regular,none,296,none,2024524000352816,c,false,none,745000,3487,none,none,none,none
20630209,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,villa,6,"[{'surface': 34}, {'surface': 20}, {'surface': 15}, {'surface': 18}, {'surface': 17}]",5,[],1640,none,none,none,none,none,none,none,570,none,none,none,none,true,none,{'surface': 28},true,none,as_new,1998,4,1,none,none,none,none,none,true,none,none,true,false,none,non_flood_zone,none,none,none,none,none,none,570,none,none,none,fueloil,none,none,none,none,true,none,25,hyper_equipped,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': true, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': 'res', 'rearland': none, 'sewerconnection': 'connected', 'surface': 3281}",{'surface': none},true,{'surface': 65},True,none,none,true,2953,none,3,3,none,none,true,true,true,true,false,none,none,[],true,{'surface': 20},true,{'surface': 30},5,[],none,none,true,none,none,none,none,none,true,60,south,for_sale,buy_regular,none,230,131215,c,c,false,none,2490000,3363,none,none,false,none
