id,flags_isPublicSale,flags_isNewClassified,flags_isNewPrice,flags_isInvestmentProject,flags_isNewlyBuilt,flags_isNotarySale,flags_isLifeAnnuitySale,flags_adQuality,flags_date,flags_priceSqm,flags_price,flags_default,flags_isSoldOrRented,flags_isLowEnergy,flags_percentSold,flags_isPassiveHouse,flags_isNewRealEstateProject,flags_isAnInteractiveSale,flags_isUnderOption,property_type,property_subtype,property_bedroomCount,property_bedrooms,property_bathroomCount,property_bathrooms,property_location_postalCode,property_location_floor,property_location_latitude,property_location_longitude,property_isHolidayProperty,property_location_type,property_location_hasSeaView,property_location_pointsOfInterest,property_netHabitableSurface,property_roomCount,property_attic,property_hasAttic,property_basement_surface,property_hasBasement,property_hasDressingRoom,property_diningRoom,property_hasDiningRoom,property_building_annexCount,property_building_condition,property_building_constructionYear,property_building_facadeCount,property_building_floorCount,property_building_streetFacadeWidth,property_propertyCertificates_builtPlanStatus,property_propertyCertificates_globalInsulationLevel,property_propertyCertificates_oilTankCertificateStatus,property_propertyCertificates_primaryEnergyConsumptionLevel,property_propertyCertificates_hasAsbestosCertificate,property_propertyCertificates_hasElectricalInstallationComplianceCertificate,property_hasCaretakerOrConcierge,property_hasDisabledAccess,property_hasLift,property_constructionPermit_constructionType,property_constructionPermit_floodZoneType,property_constructionPermit_isObtained,property_constructionPermit_hasObligationToConstruct,property_constructionPermit_hasPlotDivisionAuthorization,property_constructionPermit_hasPossiblePriorityPurchaseRight,property_constructionPermit_isBreachingUrbanPlanningRegulation,property_constructionPermit_floodZoneIconUrl,property_constructionPermit_totalBuildableGroundFloorSurface,property_constructionPermit_urbanPlanningInformation,property_constructionPermit_pScore,property_constructionPermit_gScore,property_energy_heatingType,property_energy_hasHeatPump,property_energy_hasPhotovoltaicPanels,property_energy_hasThermicPanels,property_energy_hasCollectiveWaterHeater,property_energy_hasDoubleGlazing,property_energy_performance,property_kitchen_surface,property_kitchen_type,property_kitchen_hasOven,property_kitchen_hasMicroWaveOven,property_kitchen_hasDishwasher,property_kitchen_hasWashingMachine,property_kitchen_hasFridge,property_kitchen_hasFreezer,property_kitchen_hasSteamOven,property_land,property_laundryRoom,property_hasLaundryRoom,property_livingRoom,property_hasLivingRoom,property_hasBalcony,property_hasBarbecue,property_hasGarden,property_gardenSurface,property_gardenOrientation,property_parkingCountIndoor,property_parkingCountOutdoor,property_parkingCountClosedBox,property_hasAirConditioning,property_hasArmoredDoor,property_hasVisiophone,property_hasSecureAccessAlarm,property_hasCableTV,property_hasDoorPhone,property_hasInternet,property_showerRoomCount,property_showerRooms,property_specificities_hasOffice,property_specificities_office,property_specificities_hasWorkspace,property_specificities_workspace,property_toiletCount,property_toilets,property_hasFitnessRoom,property_hasTennisCourt,property_hasSwimmingPool,property_hasSauna,property_hasJacuzzi,property_hasHammam,property_bedroomSurface,property_habitableUnitCount,property_hasTerrace,property_terraceSurface,property_terraceOrientation,transaction_type,transaction_subtype,transaction_certificates_carbonEmission,transaction_certificates_primaryEnergyConsumptionPerSqm,transaction_certificates_primaryEnergyConsumptionYearly,transaction_certificates_epcReference,transaction_certificates_epcScore,transaction_certificates_renovationObligation,transaction_rental,transaction_sale_price,transaction_sale_cadastralIncome,transaction_sale_publicSale,transaction_sale_pricePerSqm,transaction_sale_isFurnished,transaction_sale_homeToBuild
20637207,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,apartment,apartment,2,[],1,[],9040,2,51.0604173,3.747158,none,fitted_out,none,none,94,1,none,none,,none,false,none,none,none,to_be_done_up,2004,none,none,none,none,none,none,0,none,none,false,false,true,all_kind,non_flood_zone,true,false,false,true,false,none,0,none,a,a,none,none,none,none,none,true,none,,,,,,,,,,none,none,none,none,True,none,none,none,none,none,none,none,none,false,false,true,false,false,true,false,0,[],,,,,2,[],none,none,none,none,none,none,none,none,true,none,none,for_sale,buy_regular,none,85,none,20230118-0002784201-res-1,a,false,none,260000,950,none,none,none,none
20576421,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,apartment,apartment,2,[],1,[],9040,1,51.0585235,3.7480289,none,none,none,none,105,9,none,none,,none,none,none,none,none,to_renovate,1969,none,4,none,no,none,none,0,true,true,none,none,true,none,non_flood_zone,true,false,false,false,false,none,0,none,b,b,none,false,false,false,none,none,none,,,,,,,,,,none,none,none,none,True,none,none,none,none,none,none,none,none,none,none,none,false,false,none,false,none,[],,,,,1,[],none,none,none,none,none,none,none,none,true,none,none,for_sale,buy_regular,none,62,none,,a,false,none,379000,0,none,none,none,none
20701515,False,True,false,False,True,none,False,none,none,none,none,none,False,none,none,none,False,none,False,apartment,apartment,2,[],1,[],9040,4,51.0698246,3.7699584,none,none,none,none,109,9,none,none,,none,none,none,none,none,as_new,2023,none,4,none,no,none,none,0,false,true,none,none,true,none,non_flood_zone,true,false,false,false,none,none,0,none,b,b,none,false,false,false,none,none,none,,,,,,,,,,none,none,none,none,False,none,none,none,none,none,none,none,none,none,none,true,false,true,false,true,none,[],,,,,1,[],none,none,none,none,none,none,none,none,true,none,none,for_sale,buy_regular,none,none,none,,none,none,none,454000,0,none,none,none,none
20722571,False,True,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,apartment,apartment,2,[],1,[],9040,2,51.0690682,3.7643112,none,none,none,none,82,5,none,none,,none,none,none,none,none,none,1932,none,2,7,no,none,none,0,true,true,none,none,none,none,non_flood_zone,true,false,false,false,false,none,0,none,a,a,gas,false,false,false,none,true,none,none,installed,none,none,none,none,none,none,none,none,none,none,none,True,none,none,none,none,none,none,none,none,none,none,true,false,true,true,true,none,[],,,,,0,[],none,none,none,none,none,none,none,none,none,none,none,for_sale,buy_regular,none,605,none,20240910-0003367832-res-1,f,true,none,235000,1610,none,none,none,none
20721511,False,True,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,apartment,apartment,2,"[{'surface': 13}, {'surface': 10}]",1,[],9040,0,51.0656166,3.7559308,none,none,none,none,99,none,none,none,none,true,none,none,none,none,none,1977,none,none,none,no,none,not_specified,0,false,true,none,none,true,none,non_flood_zone,true,none,true,true,false,none,0,none,a,a,gas,none,none,none,none,true,none,8,installed,none,none,none,none,none,none,none,none,none,none,{'surface': 41},True,none,none,none,none,none,1,none,none,none,none,none,none,true,none,none,0,[],,,,,1,[],none,none,none,none,none,none,none,none,true,18,none,for_sale,buy_regular,none,132,none,none,b,false,none,299000,951,none,none,none,none
20650495,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,town_house,4,[],2,[],9040,none,51.0510488,3.7500573,none,urban,none,none,204,1,"{'isisolated': none, 'isaccessiblewithfixedstairs': none, 'surface': none}",true,,none,false,none,none,none,good,1918,2,3,5.8,none,none,none,0,none,none,false,false,false,all_kind,non_flood_zone,true,false,false,true,false,none,0,none,a,a,gas,none,false,false,false,true,none,,,,,,,,,,"{'hasgaswaterelectricityconnection': true, 'hasplottorear': true, 'isfacingstreet': false, 'isflat': true, 'iswooded': false, 'landwidth': 5, 'latestusedesignation': 'res', 'rearland': none, 'sewerconnection': 'connected', 'surface': 134}",none,none,none,False,none,none,true,62,east,none,none,none,false,true,false,false,true,false,true,0,[],none,none,true,none,3,[],none,none,none,none,none,none,none,none,none,none,none,for_sale,buy_regular,none,392,none,20240418-0003218494-res-2,d,false,none,499000,813,none,none,none,none
20652864,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,apartment,duplex,5,"[{'surface': 15}, {'surface': 13}, {'surface': 20}, {'surface': 22}, {'surface': 10}]",2,[],9040,0,51.0627748,3.7507705,none,urban,none,none,212,none,none,none,,none,none,none,none,none,as_new,1993,2,none,18,none,none,none,none,true,true,none,none,none,none,none,none,none,none,true,none,none,0,none,b,b,gas,none,none,true,none,true,none,10,none,none,none,none,none,none,none,none,none,{'surface': none},true,{'surface': 40},True,none,none,none,none,none,1,none,none,none,none,true,none,none,false,none,none,[],true,none,none,none,2,[],none,none,false,none,none,none,none,none,true,20,south,for_sale,buy_regular,none,72,none,none,a,false,none,645000,0,none,none,false,none
20664364,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,house,2,[],1,[],9040,none,51.0631395,3.7510311,none,fitted_out,none,none,220,1,none,none,,none,false,none,none,none,as_new,1980,4,none,none,none,none,none,0,true,none,false,false,false,all_kind,non_flood_zone,true,false,false,false,false,none,0,none,a,a,none,none,none,none,none,false,none,20,none,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': false, 'isfacingstreet': false, 'isflat': true, 'iswooded': false, 'landwidth': 0, 'latestusedesignation': 'div', 'rearland': none, 'sewerconnection': none, 'surface': 345}",none,none,{'surface': 40},True,none,none,none,none,none,none,none,none,true,false,false,true,false,false,true,0,[],none,none,true,none,0,[],none,none,none,none,none,none,none,none,true,42,none,for_sale,buy_regular,none,315,315,20220605-0002617041-res-1,d,false,none,410000,1254,none,none,none,none
20665197,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,mixed_use_building,4,"[{'surface': 17}, {'surface': 13}, {'surface': 10}, {'surface': 12}]",2,[],9040,none,51.0529492,3.745748599999999,none,urban,none,none,203,none,none,none,,none,none,none,none,none,good,1990,2,2,8,none,none,none,none,none,true,none,false,false,none,non_flood_zone,none,none,none,none,none,none,85,none,a,a,none,none,none,none,none,true,none,12,hyper_equipped,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': true, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 8, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': 'connected', 'surface': 130}",{'surface': none},true,{'surface': 29},True,none,none,none,none,none,none,none,none,none,none,none,none,true,none,none,none,[],,,,,2,[],none,none,false,none,none,none,none,none,true,45,south_west,for_sale,buy_regular,3575,141,141,202412120003477690-res-1,b,false,none,460000,0,none,none,false,none
20647091,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,house,0,[],0,[],9040,none,51.04985320000001,3.7459293,none,fitted_out,none,none,none,1,none,none,,none,false,none,none,none,none,none,2,none,none,none,none,none,0,none,none,false,false,false,all_kind,none,false,false,false,false,false,none,0,none,d,d,none,none,none,none,none,false,none,,,,,,,,,,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': false, 'isfacingstreet': false, 'isflat': true, 'iswooded': false, 'landwidth': 0, 'latestusedesignation': 'div', 'rearland': none, 'sewerconnection': none, 'surface': 0}",none,none,none,False,none,none,none,none,none,none,none,none,false,false,false,false,false,false,false,0,[],,,,,0,[],none,none,none,none,none,none,none,none,none,none,none,for_sale,buy_regular,11064,244,55093,20231208-0003063133-res-1,c,false,none,487000,597,none,none,none,none
