id,flags_isPublicSale,flags_isNewClassified,flags_isNewPrice,flags_isInvestmentProject,flags_isNewlyBuilt,flags_isNotarySale,flags_isLifeAnnuitySale,flags_adQuality,flags_date,flags_priceSqm,flags_price,flags_default,flags_isSoldOrRented,flags_isLowEnergy,flags_percentSold,flags_isPassiveHouse,flags_isNewRealEstateProject,flags_isAnInteractiveSale,flags_isUnderOption,property_type,property_subtype,property_bedroomCount,property_bedrooms,property_bathroomCount,property_bathrooms,property_location_postalCode,property_location_floor,property_location_latitude,property_location_longitude,property_isHolidayProperty,property_location_type,property_location_hasSeaView,property_location_pointsOfInterest,property_netHabitableSurface,property_roomCount,property_attic,property_hasAttic,property_basement_surface,property_hasBasement,property_hasDressingRoom,property_diningRoom,property_hasDiningRoom,property_building_annexCount,property_building_condition,property_building_constructionYear,property_building_facadeCount,property_building_floorCount,property_building_streetFacadeWidth,property_propertyCertificates_builtPlanStatus,property_propertyCertificates_globalInsulationLevel,property_propertyCertificates_oilTankCertificateStatus,property_propertyCertificates_primaryEnergyConsumptionLevel,property_propertyCertificates_hasAsbestosCertificate,property_propertyCertificates_hasElectricalInstallationComplianceCertificate,property_hasCaretakerOrConcierge,property_hasDisabledAccess,property_hasLift,property_constructionPermit_constructionType,property_constructionPermit_floodZoneType,property_constructionPermit_isObtained,property_constructionPermit_hasObligationToConstruct,property_constructionPermit_hasPlotDivisionAuthorization,property_constructionPermit_hasPossiblePriorityPurchaseRight,property_constructionPermit_isBreachingUrbanPlanningRegulation,property_constructionPermit_floodZoneIconUrl,property_constructionPermit_totalBuildableGroundFloorSurface,property_constructionPermit_urbanPlanningInformation,property_constructionPermit_pScore,property_constructionPermit_gScore,property_energy_heatingType,property_energy_hasHeatPump,property_energy_hasPhotovoltaicPanels,property_energy_hasThermicPanels,property_energy_hasCollectiveWaterHeater,property_energy_hasDoubleGlazing,property_energy_performance,property_kitchen_surface,property_kitchen_type,property_kitchen_hasOven,property_kitchen_hasMicroWaveOven,property_kitchen_hasDishwasher,property_kitchen_hasWashingMachine,property_kitchen_hasFridge,property_kitchen_hasFreezer,property_kitchen_hasSteamOven,property_land,property_laundryRoom,property_hasLaundryRoom,property_livingRoom,property_hasLivingRoom,property_hasBalcony,property_hasBarbecue,property_hasGarden,property_gardenSurface,property_gardenOrientation,property_parkingCountIndoor,property_parkingCountOutdoor,property_parkingCountClosedBox,property_hasAirConditioning,property_hasArmoredDoor,property_hasVisiophone,property_hasSecureAccessAlarm,property_hasCableTV,property_hasDoorPhone,property_hasInternet,property_showerRoomCount,property_showerRooms,property_specificities_hasOffice,property_specificities_office,property_specificities_hasWorkspace,property_specificities_workspace,property_toiletCount,property_toilets,property_hasFitnessRoom,property_hasTennisCourt,property_hasSwimmingPool,property_hasSauna,property_hasJacuzzi,property_hasHammam,property_bedroomSurface,property_habitableUnitCount,property_hasTerrace,property_terraceSurface,property_terraceOrientation,transaction_type,transaction_subtype,transaction_certificates_carbonEmission,transaction_certificates_primaryEnergyConsumptionPerSqm,transaction_certificates_primaryEnergyConsumptionYearly,transaction_certificates_epcReference,transaction_certificates_epcScore,transaction_certificates_renovationObligation,transaction_rental,transaction_sale_price,transaction_sale_cadastralIncome,transaction_sale_publicSale,transaction_sale_pricePerSqm,transaction_sale_isFurnished,transaction_sale_homeToBuild
20144266,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,apartment_block,9,[],7,[],4020,none,50.6418445,5.5843075,none,none,none,none,520,none,none,none,none,true,none,none,none,none,just_renovated,1934,3,4,22,none,none,not_specified,0,true,true,none,none,none,none,non_flood_zone,true,none,none,none,false,none,0,none,none,none,gas,none,none,none,none,true,none,none,installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': true, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': 'res', 'rearland': none, 'sewerconnection': 'connected', 'surface': 156}",none,none,none,False,none,none,none,none,none,none,none,none,none,none,none,true,true,none,none,0,[],,,,,7,[],none,none,none,none,none,none,none,none,none,none,none,for_sale,buy_regular,54,268,32586,20180625007093,d,none,none,1200000,0,none,none,none,none
20702472,False,True,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,house,5,"[{'surface': 12}, {'surface': 12}, {'surface': 12}, {'surface': 17}, {'surface': 23}]",2,[],4020,none,50.6435232,5.648376,none,isolated,none,none,200,none,none,none,none,true,none,none,none,none,as_new,none,3,1,none,,,,,,,none,none,none,none,none,none,none,none,none,none,none,200,none,none,none,gas,none,none,none,none,true,none,15,none,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': true, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': none, 'surface': 340}",{'surface': none},true,{'surface': 44},True,none,none,true,225,none,2,2,none,none,none,none,none,true,none,none,1,[],,,,,3,[],none,none,none,none,none,none,none,none,true,none,west,for_sale,buy_regular,none,183,50516,20220515005140,c,none,none,249000,1187,none,none,none,none
20455390,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,True,house,mixed_use_building,0,[],2,[],4020,none,50.62839229999999,5.5799492,none,residential,none,none,175,10,none,none,,none,false,{'surface': none},true,none,good,1930,2,2,6,none,none,not_specified,none,none,true,false,false,false,all_kind,none,none,none,none,none,none,none,0,none,none,none,gas,false,false,false,false,true,none,15,semi_equipped,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': true, 'hasplottorear': false, 'isfacingstreet': false, 'isflat': true, 'iswooded': false, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': 'connected', 'surface': 170}",none,none,none,True,none,none,true,80,west,none,none,none,false,false,false,false,true,true,true,1,[],true,none,true,none,3,[],none,none,false,false,false,none,none,none,true,10,west,for_sale,buy_regular,none,425,none,20241128008572,e,none,none,310000,589,none,none,none,none
20193256,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,True,house,house,2,"[{'surface': 13}, {'surface': 14}]",1,[],4020,none,50.6430195,5.6328483,none,isolated,none,none,75,none,none,none,none,true,none,{'surface': 16},true,none,to_be_done_up,none,3,1,5.5,none,none,none,none,none,true,none,false,false,none,non_flood_zone,none,none,none,none,none,none,0,none,none,none,gas,none,none,none,none,none,none,12,semi_equipped,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 5, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': none, 'surface': 130}",none,none,{'surface': 10},True,none,none,true,40,none,none,2,none,none,none,none,none,none,none,none,1,[],,,,,1,[],none,none,false,none,none,none,none,none,true,10,none,for_sale,buy_regular,131,700,72623,20170522023636,g,none,none,159000,421,none,none,false,none
20700543,False,True,false,False,True,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,house,4,"[{'surface': 13}, {'surface': 13}, {'surface': 11}, {'surface': 9}]",1,[],4020,none,50.6628875,5.6635139,none,none,none,none,143,none,none,none,,none,none,none,none,none,as_new,none,3,1,7.26,none,none,none,none,none,true,none,none,none,none,none,none,none,none,none,none,none,0,none,none,none,none,true,true,none,none,none,none,11,installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': 'connected', 'surface': 297}",none,none,{'surface': 31},True,none,none,none,none,none,1,1,none,none,none,none,true,none,none,none,none,[],,,,,2,[],none,none,none,none,none,none,none,none,true,24,none,for_sale,buy_regular,none,34,none,none,a+,none,none,403900,0,none,none,none,none
20699085,False,True,false,False,True,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,house,4,"[{'surface': 13}, {'surface': 13}, {'surface': 11}, {'surface': 9}]",1,[],4020,none,50.6628875,5.6635139,none,none,none,none,143,none,none,none,,none,none,none,none,none,as_new,none,3,1,7.26,none,none,none,none,none,true,none,none,none,none,none,none,none,none,none,none,none,0,none,none,none,none,true,true,none,none,none,none,11,installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': 'connected', 'surface': 360}",none,none,{'surface': 31},True,none,none,none,none,none,1,1,none,none,none,none,true,none,none,none,none,[],,,,,2,[],none,none,none,none,none,none,none,none,true,24,none,for_sale,buy_regular,none,33,none,none,a+,none,none,475413,0,none,none,none,none
20634204,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,house,3,"[{'surface': 12}, {'surface': 12}, {'surface': 21}]",1,[],4020,none,50.6391187,5.655370599999999,none,urban,none,none,105,none,none,none,,none,none,none,none,none,good,1910,3,2,none,none,none,none,none,none,true,none,none,false,none,non_flood_zone,none,none,none,none,none,none,0,none,none,none,,,,,,,,none,semi_equipped,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': none, 'surface': 404}",none,none,none,False,none,none,true,200,none,none,none,none,none,none,none,none,none,none,none,none,[],,,,,1,[],none,none,false,none,none,none,none,none,true,36,none,for_sale,buy_regular,85,466,49113,20231230005253,f,none,none,209000,400,none,none,false,none
20673638,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,house,3,"[{'surface': 12}, {'surface': 10}]",1,[],4020,none,50.6428787,5.606489499999999,none,urban,none,none,97,none,none,none,none,true,none,none,none,none,good,1918,2,2,5,none,none,no,none,none,false,none,false,false,none,non_flood_zone,false,none,false,none,false,none,64,none,none,none,gas,none,none,none,none,true,none,none,installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': true, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 5, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': 'connected', 'surface': 83}",none,none,{'surface': 36},True,none,none,none,none,none,none,none,none,none,none,none,none,true,none,none,1,[],true,{'surface': 7},none,none,2,[],none,none,false,none,none,none,none,none,true,27,south_east,for_sale,buy_regular,39,213,25730,20250213003242,c,none,none,173500,439,none,none,false,none
20722432,False,True,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,house,2,[],1,[],4020,none,50.6381147,5.6034407,none,none,none,none,105,none,none,none,none,true,none,none,none,none,just_renovated,none,2,1,none,none,none,not_specified,0,false,true,none,none,none,none,none,none,none,none,none,none,none,0,none,none,none,gas,none,none,none,none,true,none,none,hyper_equipped,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': none, 'surface': 97}",none,none,{'surface': 31},True,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,1,[],,,,,1,[],none,none,none,none,none,none,none,none,true,none,none,for_sale,buy_regular,36,197,20682,20240320031378,c,none,none,239000,513,none,none,none,none
20677685,False,False,false,False,False,none,False,none,none,none,none,none,False,none,none,none,False,none,False,house,house,3,"[{'surface': 15}, {'surface': 14}, {'surface': 13}]",1,[],4020,none,50.6435961,5.6008903,none,urban,none,none,95,none,none,none,none,true,none,none,none,none,to_renovate,1900,2,2,none,none,none,none,none,none,false,none,false,false,none,non_flood_zone,none,none,none,none,none,none,0,none,none,none,,,,,,,,none,not_installed,none,none,none,none,none,none,none,"{'hasgaswaterelectricityconnection': false, 'hasplottorear': none, 'isfacingstreet': none, 'isflat': none, 'iswooded': none, 'landwidth': 0, 'latestusedesignation': none, 'rearland': none, 'sewerconnection': 'connected', 'surface': 16}",none,none,none,False,none,none,none,none,none,none,none,none,none,none,none,none,true,none,none,1,[],,,,,1,[],none,none,false,none,none,none,none,none,true,13,none,for_sale,buy_regular,134,545,545,20150730012384,g,none,none,90000,304,none,none,none,none
